Date,Pharma_vs_NIFTY,RSI_14,VIX_Pct_Chg,Bank_vs_NIFTY,Ret_Lag1,Ret_Lag5,Bank_Ret,Mom_20d,Vol_Ratio_10_30,Pharma_vs_Bank,IT_Ret,ATR_14,Pharma_Ret,Ret_Lag2,VIX_Change,EMA_26,Vol_10d,CumRet_3d,INR_Ret,Vol_Ratio_5_20,Gold_Mom5,CumRet_10d,IT_vs_NIFTY,Vol_30d,SMA_5,Target_Direction,Target_Return,Target_5d_Dir,Regime
2018-01-05,0.6082050421551077,56.68977463646537,-1.4684273931396485,-0.021103017077384045,0.5898537634340117,0.029968693161475102,0.5687507463566277,1.1654211583689178,0.9674493128809692,0.6293080592324918,0.03538202685746672,105.72421614583254,1.1980588055891195,0.03012675726422609,-0.1999998092651385,10447.763129340277,0.7466606294842941,0.24082751578580197,-0.06444590289125252,0.9018241516122083,0.15880147893938545,0.6862642959537757,-0.554471736576545,0.7959421868270482,13809.795019531251,1,0.6132296831134809,0,Pre-COVID
2018-01-08,0.1856308419077024,56.68977463646537,-2.3099882105388714,0.03236206463401725,0.5145248428569005,0.029968693161475102,0.5468869074909177,1.1654211583689178,0.9674493128809692,0.15326877727368515,0.36882700693967596,105.87352769097137,0.7001556847646029,0.5898537634340117,-0.31000041961669744,10455.991757490998,0.7466606294842941,0.24082751578580197,-0.0780574386537447,0.9018241516122083,0.15880147893938545,0.6862642959537757,-0.14569783591722452,0.7959421868270482,13809.795019531251,1,0.12613794869653638,0,Pre-COVID
2018-01-09,0.8010522562102995,56.68977463646537,4.805492989620652,-0.323215840416724,0.6132296831134809,0.029968693161475102,0.2900138426967569,1.1654211583689178,0.9674493128809692,1.1242680966270235,1.2317805578978103,107.47279040509163,1.4142819393237804,0.5145248428569005,0.630000114440918,10468.40715392685,0.7466606294842941,1.7274342221599293,-0.16506179884855365,0.9018241516122083,0.15880147893938545,0.6862642959537757,0.6185508747843294,0.7959421868270482,13809.795019531251,0,-0.04512366915013777,1,Pre-COVID
2018-01-10,-0.8178240177382889,56.68977463646537,0.8005866971176223,-0.018249699714534273,0.12613794869653638,0.029968693161475102,0.10788824898200211,1.1654211583689178,0.9674493128809692,-0.7995743180237547,0.11887729286155224,107.32575168441262,-0.6916860690417526,0.6132296831134809,0.11000061035156428,10480.895512895231,0.7466606294842941,1.258474200084314,0.29558251238803734,0.9018241516122083,0.15880147893938545,0.6862642959537757,-0.007260655834984142,0.7959421868270482,10553.48984375,1,0.17870242895141608,1,Pre-COVID
2018-01-11,-0.1759627518616136,56.68977463646537,1.37183808772674,-0.2913987511517502,-0.04512366915013777,0.5898537634340117,-0.33652242030188795,1.1654211583689178,0.9674493128809692,0.11543599929013659,2.237757198834167,107.19191838690742,-0.22108642101175136,0.12613794869653638,0.189999580383299,10492.103267148363,0.7466606294842941,0.6946834991604867,0.29014232129849216,0.9018241516122083,0.21351090182786248,0.6862642959537757,2.282880867984305,0.7959421868270482,10591.28984375,1,0.282125996474325,1,Pre-COVID
2018-01-12,0.07005124820933517,56.68977463646537,-0.21367331234117826,-0.00851212719108485,0.17870242895141608,0.5145248428569005,0.17019030176033123,1.1654211583689178,0.9674493128809692,0.07856337540042002,0.40149828098852147,107.10126286240299,0.24875367716075125,-0.04512366915013777,-0.029999732971191406,10503.888224790151,0.7466606294842941,0.2598044631985541,0.1946969581620106,0.9018241516122083,0.8372189140894548,0.6862642959537757,0.2227958520371054,0.7959421868270482,10620.569921875,1,0.5645388385020489,1,Pre-COVID
2018-01-15,-0.5993313279700874,56.68977463646537,-1.9985773167104037,0.06139825961257728,0.282125996474325,0.6132296831134809,0.3435242560869023,1.1654211583689178,0.9674493128809692,-0.6607295875826646,-0.03221830926252167,107.06276114741569,-0.31720533149576235,0.17870242895141608,-0.2800006866455078,10517.026134064956,0.7466606294842941,0.4160007520917608,-0.13785799358285722,0.9018241516122083,1.297295690717415,0.6862642959537757,-0.3143443057368467,0.7959421868270482,10645.05,0,-0.3826227138756466,1,Pre-COVID
2018-01-16,-1.4072906019453324,56.68977463646537,4.224332823873511,0.678801156511355,0.5645388385020489,0.12613794869653638,1.2433399950134039,1.1654211583689178,0.9674493128809692,-2.0860917584566874,-0.8794001992480593,107.98873348921852,-0.8427517634432835,0.282125996474325,0.5800008773803711,10533.657517074033,0.7466606294842941,1.0284758315894926,-0.13129626710602915,0.9018241516122083,1.8076668055418965,0.6862642959537757,-1.4439390377501082,0.7959421868270482,10668.6400390625,1,0.8233261943837888,1,Pre-COVID
2018-01-17,0.006838612967241531,56.68977463646537,-1.5373882639948988,0.020893447040282176,-0.3826227138756466,-0.04512366915013777,-0.36172926683536444,1.1654211583689178,0.9674493128809692,-0.014054834073040645,3.6534453819011103,107.85750261773931,-0.3757841009084051,0.5645388385020489,-0.2200002670288086,10546.012530276881,0.7466606294842941,0.4623892058819301,-0.10584099770213351,0.9018241516122083,1.9311231451251576,0.6862642959537757,4.036068095776757,0.7959421868270482,10681.330078125,1,0.2637073177355065,1,Pre-COVID
2018-01-18,0.4324563671954662,56.68977463646537,-1.6323668801976554,0.3863066545369609,0.8233261943837888,0.17870242895141608,1.2096328489207497,1.1654211583689178,0.9674493128809692,0.046149712658505315,0.8080653026055762,112.41548338849883,1.255782561579255,-0.3826227138756466,-0.23000049591064453,10563.978254307298,0.3644384576435452,1.0045622440023383,0.7447947810256927,0.9018241516122083,1.8665469492779474,3.306932768846216,-0.01526089177821266,0.7959421868270482,10712.6,1,0.7183155709762357,1,Pre-COVID
2018-01-19,-1.4731283304008636,56.68977463646537,0.7215034916797425,0.6807896656290335,0.2637073177355065,0.282125996474325,0.94449698336454,1.1654211583689178,0.9674493128809692,-2.153917996029897,0.3136106377775727,111.849418936699,-1.209421012665357,0.8233261943837888,0.10000038146972656,10582.72060584009,0.35265171133438244,0.7024144251472464,-0.2645549324196139,0.9018241516122083,0.7926983329437753,2.971976630846296,0.04990332004206621,0.7959421868270482,10745.7599609375,1,0.6562824007838586,1,Pre-COVID
2018-01-22,-0.6004153154851144,56.68977463646537,0.14326292288471265,0.6838565508717975,0.7183155709762357,0.5645388385020489,1.4021721218480332,1.1654211583689178,0.9674493128809692,-1.284271866356912,0.502353990480553,114.55932258368058,0.11790025549112126,0.2637073177355065,0.01999950408935547,10605.830205060269,0.37216897654322423,1.8153441813606452,0.06674300643325637,0.9018241516122083,0.6142114978176183,3.180749782053005,-0.2159615804956827,0.7959421868270482,10788.45,1,1.0714741469905364,1,Pre-COVID
2018-01-23,-0.47989359478550764,56.68977463646537,10.085842970355863,-0.1668686434008082,0.6562824007838586,-0.3826227138756466,0.4894137573830504,1.1654211583689178,0.9674493128809692,-0.31302495138469943,2.0666747983429268,116.12887970273131,0.17638880599835094,0.7183155709762357,1.4100008010864258,10632.524278412287,0.37623885452977585,1.6466568152451178,-0.055583070350029296,0.9018241516122083,-0.178115465335682,3.2249011496552127,1.4103923975590682,0.7959421868270482,10833.380078125,1,0.020749430668232094,1,Pre-COVID
2018-01-24,0.09374939234561008,94.04468610124377,5.458084341616165,0.22063033628865192,1.0714741469905364,0.8233261943837888,1.2921044832791884,1.1654211583689178,0.9674493128809692,-0.12688094394304184,1.1938797202059925,123.70082920590856,1.1652235393361465,0.6562824007838586,0.8399991989135742,10665.944716701191,0.4364666386516691,2.46556527052324,0.07519780135325504,0.9018241516122083,-0.20701164518063253,4.199494174226759,0.12240557321545609,0.7959421868270482,10910.030078125,0,-0.1474797886974577,1,Pre-COVID
2018-01-25,0.5843367970437052,94.07303515468091,11.152196083436339,0.008279741403516283,0.020749430668232094,0.2637073177355065,0.029029172071748377,1.1654211583689178,0.9674493128809692,0.5760570556401889,1.5376729690316004,121.98871864512058,0.6050862277119373,1.0714741469905364,1.8100013732910156,10697.059922871473,0.42921994552961734,1.7558978334236919,-0.20288090406033188,0.9018241516122083,0.44235916036412526,4.268164597649049,1.5169235383633684,0.7959421868270482,10969.5201171875,0,0.0,1,Pre-COVID
2018-01-26,-0.8422010316849748,90.7651226541002,-2.937919399933775,0.31938726305479337,-0.1474797886974577,0.7183155709762357,0.17190747435733567,1.1654211583689178,0.9674493128809692,-1.1615882947397682,-0.9939975112656763,120.48309001327101,-0.9896808203824325,0.020749430668232094,-0.5300006866455078,10724.65921677914,0.4607982607983059,0.9433549768380178,-0.27074265021307387,0.9018241516122083,1.8785631264563785,3.9286670763793996,-0.8465177225682186,0.7959421868270482,11020.0501953125,1,0.5487978197707966,1,Pre-COVID
2018-01-29,0.0,90.7651226541002,0.0,0.0,0.0,0.6562824007838586,0.0,1.1654211583689178,0.9674493128809692,0.0,0.0,120.48309001327101,0.0,-0.1474797886974577,-0.5300006866455078,10724.65921677914,0.4763110353452359,-0.12676095924574193,-0.007548046043082124,0.9018241516122083,1.8785631264563785,3.636282182562911,0.0,0.7959421868270482,11020.0501953125,0,-0.7254905229466369,0,Pre-COVID
2018-01-30,-1.6465378788916074,90.7651226541002,2.170183642486845,-0.3564267639574181,0.5487978197707966,1.0714741469905364,0.19237105581337843,1.1654211583689178,0.9674493128809692,-1.2901111149341893,0.9502349419825196,119.0993081880918,-1.0977400591208109,0.0,-0.5300006866455078,10756.92729246055,0.47558112554663834,0.4005086652083767,-0.0048783979797017984,0.9018241516122083,0.9088923175772035,3.6200603544919607,0.401437122211723,0.7959421868270482,11020.0501953125,0,-0.1986505865481769,0,Pre-COVID
2018-01-31,0.11441519234118847,74.58659980787044,-8.216877381253951,-0.10872816892174564,-0.7254905229466369,0.020749430668232094,-0.8342186918683825,1.1654211583689178,0.9674493128809692,0.2231433612629341,-1.016045344062677,121.35250069009635,-0.6110753306054484,0.5487978197707966,-1.4699993133544922,10778.610484917175,0.5425003524093635,-0.18067417934841679,0.15636238340031028,0.9018241516122083,0.5630513112133917,3.263415921186863,-0.29055482111604025,0.7959421868270482,11020.0501953125,0,-0.0979334267002474,0,Pre-COVID
2018-02-01,-1.6709460416814648,70.8877103057858,-2.9841642438576677,0.6034969679637125,-0.1986505865481769,-0.1474797886974577,0.40484638141553564,5.5969433609283525,0.9674493128809692,-2.2744430096451773,-0.9272983409028157,119.87576752516665,-1.8695966282296417,-0.7254905229466369,-0.48999977111816584,10797.061574576088,0.533962565227108,-0.37896585557957163,0.157849791777398,1.0187562013055378,-0.16584386748488278,2.216705627303983,-0.7286477543546388,0.7959421868270482,11020.0501953125,0,-2.326432772943132,0,Pre-COVID
2018-02-02,-2.310759449375299,69.07269966826883,-11.424988158394456,-0.4818806210515336,-0.0979334267002474,0.0,-0.579814047751781,4.874919993325233,0.9674493128809692,-1.8288788283237656,-0.1678739342253599,118.58153237597759,-2.4086928760755466,-0.1986505865481769,-1.8200006484985334,10813.345931320453,0.5429031493734109,-1.019729713367723,-0.16449823193861457,1.0154445643544114,-0.696960663385815,1.8480206214754658,-0.0699405075251125,0.7959421868270482,11020.0501953125,0,-0.8740201113473289,0,Pre-COVID
2018-02-05,1.0604212992643247,41.751528304800914,8.079378958618722,-0.5006364413319031,-2.326432772943132,0.5487978197707966,-2.8270692142750353,1.9107195145659617,0.9674493128809692,1.5610577405962278,0.14655292544676346,144.11783196543053,-1.2660114736788075,-0.0979334267002474,1.140000343322754,10809.43879636153,0.9277282949592112,-2.615926939147717,0.4869198996872104,1.502414809580748,-0.696960663385815,-1.2308790837144645,2.4729856983898957,0.7959421868270482,10997.0501953125,0,-1.5778279553294694,0,Pre-COVID
2018-02-06,1.169837202387114,36.10756998527319,5.245896636462599,-0.4582492397012583,-0.8740201113473289,-0.7254905229466369,-1.3322693510485872,0.4042904184246243,0.9674493128809692,1.6280864420883723,-0.359678518708173,144.55312819816473,0.29581709103978504,-2.326432772943132,0.7999992370605469,10798.854426607899,0.911547553344584,-3.274938420782536,0.24619183190264238,1.2003960069545028,0.14366859049215197,-2.732490610130256,0.5143415926391559,0.7959421868270482,10904.280078125,0,-0.20527044686019513,0,Pre-COVID
2018-02-07,-0.6080698339643198,28.645242270700507,24.735211273631208,0.4764319117280369,-1.5778279553294694,-0.1986505865481769,-1.1013960436014325,-1.3044091379148304,0.9674493128809692,-1.0845017456923567,-2.895212685732873,154.71818506340958,-2.185897789293789,-0.8740201113473289,3.970001220703125,10776.58743204435,0.8610002551577164,-4.707770536496392,0.28409553918491426,1.1452264289815195,0.8030220806305888,-5.28208256264544,-1.3173847304034036,0.7959421868270482,10794.0,1,0.9559251691416026,0,Pre-COVID
2018-02-08,0.9328996387722666,27.851518576120313,-2.7472584007653955,-0.342166026445756,-0.20527044686019513,-0.0979334267002474,-0.5474364733059511,-1.462538300102334,0.9674493128809692,1.2750656652180226,-0.8939394952333868,148.05802731537142,0.7276291919120714,-1.5778279553294694,-0.5500011444091832,10754.373562656807,0.8475697203889553,-2.638323368292206,-0.5204062797751208,1.142660728004898,0.042450458153742154,-5.4961194721946605,-0.6886690483731917,0.7959421868270482,10683.8,0,-1.1525115565078292,0,Pre-COVID
2018-02-09,2.699599772829986,36.638363983106025,-8.73137604285782,0.02051174308324022,0.9559251691416026,-2.326432772943132,0.9764369122248429,-0.6980489012892721,0.9674493128809692,2.6790880297467456,1.110837360951189,148.72144528790508,3.6555249419715885,-0.20527044686019513,-1.6999988555908168,10741.223640191487,0.9702477615771706,-0.8409485443276243,0.3438534035321794,1.4769147614958893,-1.3226462312920018,-4.451818836730004,0.15491219180958637,0.7959421868270482,10595.78984375,1,0.8110971654893273,0,Pre-COVID
2018-02-12,0.7217357921728951,31.594582122044812,8.216089177616116,-0.610566876603702,-1.1525115565078292,-0.8740201113473289,-1.7630784331115312,-2.11866405792861,0.9674493128809692,1.332302668776597,-0.7598248938944785,152.11514125472615,-0.43077576433493414,0.9559251691416026,1.4599990844726562,10720.018199830081,0.9792521274806941,-0.4124478335674975,0.3746127963253354,1.1147086377145463,-1.5116060649713159,-5.553022666669727,0.3926866626133507,0.7959421868270482,10534.6599609375,0,0.0,1,Pre-COVID
